"Company","Position","Email","Status","First Contact","Days"
"Directimpactsolutions","Andy - Full-Stack Dev for Direct Impact Solutions","jobs@directimpactsolutions.com","clicked","1/15/2026","8"
"Technorely","Andy - Full-Stack Dev for Technorely","info@technorely.com","delivered","1/15/2026","8"
"Mjohjson","Andy - Full-Stack Dev for mjohnson1","michael@mjohjson.net","sent","1/15/2026","8"
"Dd","Andy - Full-Stack Dev for DD.NYC®","hello@dd.nyc","delivered","1/15/2026","8"
"Blankandco","Andy - Full-Stack Dev for Blank & Co.","hello@blankandco.com","delivered","1/15/2026","8"
"Powellstudios","Andy - Full-Stack Dev for Powell—Studio","support@powellstudios.net","delivered","1/15/2026","8"
"Kbrandsltd","Andy - Full-Stack Dev for Khira Mclaurine","hello@kbrandsltd.com","delivered","1/15/2026","8"
"Andrew","Andy - Full-Stack Dev for mary-regetsiy","hello@andrew.design","sent","1/15/2026","8"
"Altosagency","Andy - Full-Stack Dev for Altos","hello@altosagency.com","clicked","1/15/2026","8"
"Atomic","Andy - Full-Stack Dev for atomichealth","careers@atomic.health","delivered","1/15/2026","8"
"Takt","Andy - Full-Stack Dev for Takt","hello@takt.com","clicked","1/13/2026","10"
"Craftinnovations","Andy - Full-Stack Dev for Craft Innovations","bizdev@craftinnovations.global","delivered","1/13/2026","10"
"Webgamma","Andy - Full-Stack Dev for Webgamma","team@webgamma.ca","delivered","1/13/2026","10"
"Liftinteractive","Andy - Full-Stack Dev for lift.digital","hello@liftinteractive.com","delivered","1/13/2026","10"
"Weareripple","Andy - Full-Stack Dev for Ripple_CA","office@weareripple.ca","clicked","1/13/2026","10"
"Marketika","Andy - Full-Stack Dev for MARKÉTIKA","hello@marketika.co","delivered","1/13/2026","10"
"Otherlife","Andy - Full-Stack Dev for Otherlife","hiring@otherlife.xyz","delivered","1/13/2026","10"
"Madebynothing","Andy - Full-Stack Dev for NOTHING","hello@madebynothing.com","delivered","1/13/2026","10"
"Tux","Andy - Full-Stack Dev for Tux Creative House","hello@tux.co","clicked","1/13/2026","10"
"Acolyte","Andy - Dev Full-Stack pour Acolyte","info@acolyte.ws","clicked","1/13/2026","10"
"Dactylocommunication","Andy - Dev Full-Stack pour DACTYLO","info@dactylocommunication.com","clicked","1/13/2026","10"
"Department","Andy - Dev Full-Stack pour Department Maison de Cr","contact@department.global","delivered","1/13/2026","10"
