Name,Website,Awwwards Profile,Qualité,Email,Date mail 1,Réponse,Réponse finale,Langue,Tech,Lien candidature / source,Commentaire,Mail envoyé
Locomotive,https://locomotive.ca/,https://www.awwwards.com/locomotive/,20,"info@locomotive.ca / jeff@locomotive.ca
",12/01/2026,FALSE,,FR,"lenis, gsap, three (react?)",https://locomotive.ca/en/careers,"Depuis leurs site web; Developer front end, canada","Chez Locomotive, nous créons des expériences numériques sur-mesure, performantes et soignées. Nous recherchons un·e développeur·se front-end expérimenté·e pour rejoindre notre équipe et contribuer à la réalisation de sites web de haute qualité.
Tâches et responsabilités

    Intégrer des maquettes avec précision et fidélité, tout en veillant à la performance et à l’accessibilité.
    Proposer et implémenter des animations élégantes, pertinentes et performantes pour enrichir l’expérience utilisateur.
    Évaluer les temps nécessaires à la réalisation de ses projets et les planifier conjointement avec le producteur/la productrice
    Travailler avec des CMS modernes (Storyblok, Craft, Sanity, Dato, etc.) et des solutions comme WordPress, que ce soit en headless ou non.
    Collaborer en équipe via GitHub/Bitbucket (GitFlow, PRs, code reviews) et contribuer à l’amélioration continue de nos outils internes
    S’assurer de la compatibilité de son code avec les navigateurs modernes et offrir une expérience utilisateur optimale sur les différentes plateformes
    Être à l’écoute et supporter ses collègues face aux problématiques
    Participer à la définition et à l’amélioration des bonnes pratiques en matière de performance et accessibilité
    Assurer la maintenance et l’évolution des sites existants en respectant les standards et le workflow de l’agence.
    Participer à l’amélioration continue des outils internes
    Effectuer une veille technologique régulière pour rester à la pointe des tendances et innovations front-end.

Ce que nous recherchons

    3 ans et plus d’expérience en développement front-end.
    À l’aise à l’oral en Français, compréhension et expression.
    Une personne basée ou ouverte à s'installer autour de Montréal (QC - Canada)
    Excellente maîtrise de HTML, CSS et JavaScript Vanilla.
    Expérience avec Astro, les Web Components et Vite.
    Expérience avec TailwindCSS, PostCSS et la nomenclature BEM.
    Expérience avec des CMS headless modernes et WordPress.
    Expérience avec GSAP (et/ou autres librairies d’animations) et les transitions de page asynchrones (avec Barba / Swup / Taxi / Highway / Autre)
    Grand sens du détail et de la finition, avec une passion pour les interfaces soignées et les animations.
    Maîtrise des meilleures pratiques en performance web, accessibilité et SEO, avec une sensibilité accrue à ces aspects.
    Excellente communication et capacité à travailler en équipe sur plusieurs projets en parallèle.

Ce qui serait un plus

    Expérience avec des frameworks comme React/Next.js, Vue/Nuxt, ou Svelte.
    Connaissance de technologies e-commerce (Shopify, Stripe).
    Expérience en 3D (ThreeJS, OGL, WebGPU, etc) et/ou en GLSL

Pourquoi nous rejoindre ?

    Travailler sur des projets variés, avec une stack moderne et optimisée.
    Évoluer au sein d’une agence reconnue pour son excellence dans le web et en front-end.
    Une équipe talentueuse et bienveillante, où la qualité prime sur la quantité.
    Un environnement qui encourage la veille, l’expérimentation et la formation continue.
    Une flexibilité de travail avec un rythme adapté et des outils modernes.
"
Akufen,http://akufen.ca/,https://www.awwwards.com/akufen/,20,jobs@akufen.ca,12/01/2026,FALSE,,FR,"lenis, gsap, three, (nuxt)",spontannée,mail,"Hello à toute la team !

Cela fait très longtemps (plus de 5 ans) que je me balade sur Awwward. Et que je regarde votre travail grâce à ça et je suis impressionné à chaque fois. Je me suis toujours dit que je vous contacterais le jour où je me sentirais légitime de le faire.

Je rêverais de travailler avec une agence comme la vôtre et de venir m’installer au Canada !

Moi, c’est Andy, et je me dis ... ""why not"", j’ai 7 ans d’expérience en informatique, un master d’ingénierie, et j’ai travaillé dans de nombreux environnements différents.
ESN, Startup, client final, et agence.


Je pense que mon profil peut vous intéresser : j’ai un parcours sympa, incluant une expérience de plus d’un an dans une agence américaine, Wildlife.la, où j’ai travaillé sur NextJS, puis sur React. J’ai également eu l’occasion de créer plusieurs SaaS, des plateformes e-commerce et des sites web en freelance pendant +7 ans, mais la liste serait trop longue pour tout détailler ici !

Je vous laisse donc découvrir mon portfolio ici : 
https://andy-cinquin.fr ( ) ou https://andy-cinquin.com ( )

Et vous trouverez également toutes les infos nécessaires sur mon GitHub : 
https://github.com/CinquinAndy par rapport à l'aspect tech pur !

Côté stack, je suis particulièrement à l’aise avec l’écosystème JS/TS (NextJS) et les CMS Headless comme Strapi, Payload ou Directus. 

J'ai très envie de collaborer avec les cracks de notre domaine, et c’est clairement votre cas. Votre approche et la qualité de vos réalisations me parlent énormément. J'ai vu pas mal de vos réalisations, qui disent du bien (beaucoup de bien même!) de vous, alors je me lance : qui ne tente rien n’a rien comme on dit ;d !

En vous souhaitant une très agréable journée,
Andy 
"
CUSP,http://heycusp.com/,https://www.awwwards.com/CUSP/,16,say@heycusp.com,12/01/2026,FALSE,,EN,react,spontannée,mail,
Deux Huit Huit,http://deuxhuithuit.com/,https://www.awwwards.com/Deux.Huit.Huit/,15,info@deuxhuithuit.com,12/01/2026,FALSE,,FR,vercel (prob next),spontannée,mail,
REF Digital,https://ref.digital/,https://www.awwwards.com/ref.digital/,14,info@ref.digital,12/01/2026,FALSE,,FR,storyblock + nuxtjs (vue),spontannée,mail,
MILL3,https://mill3.studio/en/,https://www.awwwards.com/MILL3/,19,info@mill3.studio,12/01/2026,FALSE,,FR,wordpress,spontannée,mail,
Tux Creative House,https://tux.co/en/,https://www.awwwards.com/tuxcreative/,19,hello@tux.co,13/01/2026,FALSE,,EN,nuxtjs + threejs,,,
Leeroy,http://www.leeroy.ca/,https://www.awwwards.com/LEEROY/,17,hello@leeroy.ca,13/01/2026,FALSE,,FR,"craft lottie, lenis, ( php + probably react ) ",,,
Daybreak Studio,https://daybreak.studio/,https://www.awwwards.com/DaybreakStudio/,,hello@daybreak.studio,13/01/2026,FALSE,,EN,sanity + nextjs,,,
Mambo Mambo,https://mambomambo.ca/,https://www.awwwards.com/mambo/,17,allo@mambomambo.ca,13/01/2026,FALSE,,FR,craft + react? ( maybe ) - php,,,
